id,name,created_at,updated_at,rename,tag_type,name2
1,Bakery,2014-11-08 14:44:20 +1100,2014-11-08 14:44:20 +1100,bakery,Venue_type_0,bakery
2,Coffee,2014-11-08 14:44:20 +1100,2014-11-08 14:44:20 +1100,cafe,Venue_type_1,cafe
3,Breakfast,2014-11-08 14:44:20 +1100,2014-11-08 14:44:20 +1100,breakfast,Dish_type,breakfast
4,Chinese,2014-11-08 14:44:23 +1100,2014-11-08 14:44:23 +1100,Chinese,Cuisine,Chinese
5,Asian,2014-11-08 14:44:23 +1100,2014-11-08 14:44:23 +1100,Asian,Cuisine,Asian
6,Taiwanese,2014-11-08 14:44:23 +1100,2014-11-08 14:44:23 +1100,Taiwanese,Cuisine,Taiwanese
7,Dessert,2014-11-08 14:44:25 +1100,2014-11-08 14:44:25 +1100,dessert,Dish_type,dessert
8,Italian,2014-11-08 14:44:25 +1100,2014-11-08 14:44:25 +1100,Italian,Cuisine,Italian
9,Ice Cream/Gelato,2014-11-08 14:44:25 +1100,2014-11-08 14:44:25 +1100,frozen dessert,Dish_type,frozen dessert
10,Malaysian,2014-11-08 14:44:27 +1100,2014-11-08 14:44:27 +1100,Malaysian,Cuisine,Malaysian
11,Thai,2014-11-08 14:44:29 +1100,2014-11-08 14:44:29 +1100,Thai,Cuisine,Thai
12,Japanese,2014-11-08 14:44:33 +1100,2014-11-08 14:44:33 +1100,Japanese,Cuisine,Japanese
13,Modern,2014-11-08 14:44:33 +1100,2014-11-08 14:44:33 +1100,modern,Delete,
14,French,2014-11-08 14:44:37 +1100,2014-11-08 14:44:37 +1100,French,Cuisine,French
15,Seafood,2014-11-08 14:44:37 +1100,2014-11-08 14:44:37 +1100,seafood,Dish_type,seafood
16,Wine Bar,2014-11-08 14:44:39 +1100,2014-11-08 14:44:39 +1100,wine bar,Venue_type_2,wine bar
17,Middle Eastern,2014-11-08 14:44:41 +1100,2014-11-08 14:44:41 +1100,Middle Eastern,Cuisine,Middle Eastern
18,Steakhouse,2014-11-08 14:44:47 +1100,2014-11-08 14:44:47 +1100,steakhouse,Venue_type_0,steakhouse
19,Barbecue,2014-11-08 14:44:47 +1100,2014-11-08 14:44:47 +1100,barbecue,Dish_type,barbecue
20,Noodle Shop,2014-11-08 14:44:49 +1100,2014-11-08 14:44:49 +1100,noodles,Dish_type,noodles
21,English/Irish,2014-11-08 15:58:47 +1100,2014-11-08 15:58:47 +1100,English/Irish,Cuisine,English/Irish
22,Vegetarian,2014-11-08 15:58:47 +1100,2014-11-08 15:58:47 +1100,vegetarian,Dietary_type,vegetarian
23,Teriyaki,2014-11-08 15:59:01 +1100,2014-11-08 15:59:01 +1100,teriyaki,Dish_type,teriyaki
24,Cocktails,2014-11-08 15:59:03 +1100,2014-11-08 15:59:03 +1100,cocktails,Dish_type,cocktails
25,Mexican,2014-11-08 15:59:05 +1100,2014-11-08 15:59:05 +1100,Mexican,Cuisine,Mexican
26,Tacos,2014-11-08 15:59:05 +1100,2014-11-08 15:59:05 +1100,tacos,Dish_type,tacos
27,Hot Dogs/Sausages,2014-11-08 15:59:05 +1100,2014-11-08 15:59:05 +1100,hot dogs/sausages,Dish_type,hot dogs/sausages
28,Spanish,2014-11-08 15:59:08 +1100,2014-11-08 15:59:08 +1100,Spanish,Cuisine,Spanish
29,Latin American,2014-11-08 15:59:08 +1100,2014-11-08 15:59:08 +1100,Latin American,Cuisine,Latin American
30,Tapas,2014-11-08 15:59:08 +1100,2014-11-08 15:59:08 +1100,tapas,Dish_type,tapas
31,Turkish,2014-11-08 15:59:10 +1100,2014-11-08 15:59:10 +1100,Turkish,Cuisine,Turkish
32,Burgers,2014-11-08 15:59:12 +1100,2014-11-08 15:59:12 +1100,burgers,Dish_type,burgers
33,Mediterranean,2014-11-08 15:59:15 +1100,2014-11-08 15:59:15 +1100,Mediterranean,Cuisine,Mediterranean
34,Korean,2014-11-08 15:59:23 +1100,2014-11-08 15:59:23 +1100,Korean,Cuisine,Korean
35,Vietnamese,2014-11-08 15:59:32 +1100,2014-11-08 15:59:32 +1100,Vietnamese,Cuisine,Vietnamese
36,Pub Food,2014-11-08 15:59:38 +1100,2014-11-08 15:59:38 +1100,pub,Venue_type_0,pub
37,Kosher,2014-11-08 15:59:40 +1100,2014-11-08 15:59:40 +1100,kosher,Dietary_type,kosher
38,Ramen,2014-11-08 15:59:42 +1100,2014-11-08 15:59:42 +1100,ramen,Dish_type,ramen
39,American,2014-11-08 15:59:46 +1100,2014-11-08 15:59:46 +1100,American,Cuisine,American
40,Sushi,2014-11-08 15:59:52 +1100,2014-11-08 15:59:52 +1100,sushi,Dish_type,sushi
41,Caribbean,2014-11-08 16:00:00 +1100,2014-11-08 16:00:00 +1100,Caribbean,Cuisine,Caribbean
42,African,2014-11-08 16:00:00 +1100,2014-11-08 16:00:00 +1100,African,Cuisine,African
43,Indian,2014-11-08 16:00:00 +1100,2014-11-08 16:00:00 +1100,Indian,Cuisine,Indian
44,German,2014-11-08 16:00:04 +1100,2014-11-08 16:00:04 +1100,German,Cuisine,German
45,Pizza,2014-11-08 16:00:06 +1100,2014-11-08 16:00:06 +1100,pizza,Dish_type,pizza
46,International,2014-11-08 16:00:14 +1100,2014-11-08 16:00:14 +1100,international,Delete,
47,European,2014-11-08 16:00:34 +1100,2014-11-08 16:00:34 +1100,European,Cuisine,European
48,Sandwiches/Subs,2014-11-08 16:00:41 +1100,2014-11-08 16:00:41 +1100,sandwiches,Dish_type,sandwiches
49,Brazilian,2014-11-08 16:01:02 +1100,2014-11-08 16:01:02 +1100,Brazilian,Cuisine,Brazilian
50,Buffet,2014-11-08 16:01:02 +1100,2014-11-08 16:01:02 +1100,buffet,Dish_type,buffet
51,Yum Cha,2014-11-08 16:01:06 +1100,2014-11-08 16:01:06 +1100,yum cha,Dish_type,yum cha
52,Indonesian,2014-11-08 16:01:46 +1100,2014-11-08 16:01:46 +1100,Indonesian,Cuisine,Indonesian
53,Gastropub,2014-11-08 16:02:49 +1100,2014-11-08 16:02:49 +1100,gastropub,Venue_type_0,gastropub
54,Pakistani,2014-11-08 16:03:28 +1100,2014-11-08 16:03:28 +1100,Pakistani,Cuisine,Pakistani
55,Nepalese/Tibetan,2014-11-08 16:03:33 +1100,2014-11-08 16:03:33 +1100,Nepalese/Tibetan,Cuisine,Nepalese/Tibetan
56,Australian,2014-11-08 16:04:23 +1100,2014-11-08 16:04:23 +1100,Australian,Cuisine,Australian
57,Soup,2014-11-08 16:05:05 +1100,2014-11-08 16:05:05 +1100,soup,Dish_type,soup
58,Moroccan,2014-11-08 16:05:13 +1100,2014-11-08 16:05:13 +1100,Moroccan,Cuisine,Moroccan
59,Greek,2014-11-08 16:05:16 +1100,2014-11-08 16:05:16 +1100,Greek,Cuisine,Greek
60,Bar,2014-11-08 16:05:35 +1100,2014-11-08 16:05:35 +1100,bar,Venue_type_2,bar
61,Eastern European,2014-11-08 16:05:37 +1100,2014-11-08 16:05:37 +1100,Eastern European,Cuisine,Eastern European
62,Diner,2014-11-08 16:05:57 +1100,2014-11-08 16:05:57 +1100,diner,Venue_type_0,diner
63,Lebanese,2014-11-08 19:39:52 +1100,2014-11-08 19:39:52 +1100,Lebanese,Cuisine,Lebanese
64,Smoothies,2014-11-08 19:41:22 +1100,2014-11-08 19:41:22 +1100,smoothies,Dish_type,smoothies
65,Tea,2014-11-08 19:42:24 +1100,2014-11-08 19:42:24 +1100,tea,Dish_type,tea
66,Southern/Soul,2014-11-08 19:42:28 +1100,2014-11-08 19:42:28 +1100,southern/soul,Cuisine,southern/soul
67,Afghan,2014-11-08 19:43:03 +1100,2014-11-08 19:43:03 +1100,Afghan,Cuisine,Afghan
68,Fish and Chips,2014-11-08 19:43:47 +1100,2014-11-08 19:43:47 +1100,fish & chips,Dish_type,fish & chips
69,Salad,2014-11-08 19:44:20 +1100,2014-11-08 19:44:20 +1100,salad,Dish_type,salad
70,Chicken,2014-11-08 19:50:32 +1100,2014-11-08 19:50:32 +1100,chicken,Dish_type,chicken
71,Polish,2014-11-08 19:52:10 +1100,2014-11-08 19:52:10 +1100,Polish,Cuisine,Polish
72,Portuguese,2014-11-08 19:53:39 +1100,2014-11-08 19:53:39 +1100,Portuguese,Cuisine,Portuguese
73,Belgian,2014-11-08 19:56:33 +1100,2014-11-08 19:56:33 +1100,Belgian,Cuisine,Belgian
74,Craft Beers,2014-11-08 20:01:42 +1100,2014-11-08 20:01:42 +1100,craft beers,Dish_type,craft beers
75,Canadian,2014-11-08 20:03:35 +1100,2014-11-08 20:03:35 +1100,Canadian,Cuisine,Canadian
76,Argentinian,2014-11-08 20:17:20 +1100,2014-11-08 20:17:20 +1100,Argentinian,Cuisine,Argentinian
77,Donuts,2014-11-08 20:25:45 +1100,2014-11-08 20:25:45 +1100,donuts,Dish_type,donuts
78,Cafe,2014-11-08 20:27:41 +1100,2014-11-08 20:27:41 +1100,cafe,Venue_type_1,cafe
79,Native Australian,2014-11-09 22:25:53 +1100,2014-11-09 22:25:53 +1100,Native Australian,Cuisine,Native Australian
80,Persian/Iranian,2014-11-10 03:36:44 +1100,2014-11-10 03:36:44 +1100,Persian/Iranian,Cuisine,Persian/Iranian
81,Filipino,2014-11-10 03:40:15 +1100,2014-11-10 03:40:15 +1100,Filipino,Cuisine,Filipino
82,Armenian,2014-11-10 04:06:10 +1100,2014-11-10 04:06:10 +1100,Armenian,Cuisine,Armenian
83,Russian,2014-11-10 04:16:33 +1100,2014-11-10 04:16:33 +1100,Russian,Cuisine,Russian
84,Hot Pot,2014-11-10 04:55:50 +1100,2014-11-10 04:55:50 +1100,hot pot,Dish_type,hot pot
85,Fast Food,2014-11-10 04:56:27 +1100,2014-11-10 04:56:27 +1100,fast food,Dish_type,fast food
86,Bubble Tea,2014-11-10 04:58:53 +1100,2014-11-10 04:58:53 +1100,bubble tea,Dish_type,bubble tea
87,Bar & Grill,2014-11-10 05:06:37 +1100,2014-11-10 05:06:37 +1100,bar & grill,Venue_type_1,bar & grill
88,Delicatessen,2014-11-10 05:39:26 +1100,2014-11-10 05:39:26 +1100,delicatessen,Venue_type_1,delicatessen
89,Organic,2014-11-10 05:44:51 +1100,2014-11-10 05:44:51 +1100,organic,Dietary_type,organic
90,Raw Food,2014-11-10 05:44:51 +1100,2014-11-10 05:44:51 +1100,raw food,Dietary_type,raw food
91,Jazz & Blues,2014-11-17 04:24:17 +1100,2014-11-17 04:24:17 +1100,jazz & blues,Feature_1,jazz & blues
92,Bars,2014-11-17 04:25:17 +1100,2014-11-17 04:25:17 +1100,bar,Venue_type_2,bar
93,Tapas & Small Plates,2014-11-17 04:25:17 +1100,2014-11-17 04:25:17 +1100,tapas,Dish_type,tapas
94,Cafes,2014-11-17 04:26:01 +1100,2014-11-17 04:26:01 +1100,cafe,Venue_type_1,cafe
95,Specialty Food,2014-11-17 04:26:01 +1100,2014-11-17 04:26:01 +1100,specialty food,Delete,
96,Breakfast & Brunch,2014-11-17 04:26:01 +1100,2014-11-17 04:26:01 +1100,breakfast,Dish_type,breakfast
97,Modern Australian,2014-11-17 04:26:04 +1100,2014-11-17 04:26:04 +1100,Modern Australian,Cuisine,Modern Australian
98,Coffee & Tea Shops,2014-11-17 04:26:13 +1100,2014-11-17 04:26:13 +1100,cafe,Venue_type_1,cafe
99,Eastern European Restaurants ,2014-11-17 04:26:13 +1100,2014-11-17 04:26:13 +1100,Eastern European,Cuisine,Eastern European
100,Food,2014-11-17 04:26:16 +1100,2014-11-17 04:26:16 +1100,food,Delete,
101,Desserts,2014-11-17 04:26:19 +1100,2014-11-17 04:26:19 +1100,dessert,Dish_type,dessert
102,Crepes,2014-11-17 04:26:19 +1100,2014-11-17 04:26:19 +1100,crepes,Dish_type,crepes
103,Traditional American,2014-11-17 04:26:22 +1100,2014-11-17 04:26:22 +1100,American,Cuisine,American
104,British,2014-11-17 04:26:45 +1100,2014-11-17 04:26:45 +1100,British,Cuisine,British
105,Food Stands,2014-11-17 04:26:51 +1100,2014-11-17 04:26:51 +1100,food stand,Venue_type_0,food stand
106,Sandwiches,2014-11-17 04:26:51 +1100,2014-11-17 04:26:51 +1100,sandwiches,Dish_type,sandwiches
107,Takeaway & Fast Food,2014-11-17 04:27:07 +1100,2014-11-17 04:27:07 +1100,takeaway,Venue_type_0,takeaway
108,Chicken Shop,2014-11-17 04:27:07 +1100,2014-11-17 04:27:07 +1100,chicken shop,Venue_type_0,chicken shop
109,Vegan,2014-11-17 04:27:49 +1100,2014-11-17 04:27:49 +1100,vegan,Dietary_type,vegan
110,Cocktail Bars,2014-11-17 04:28:17 +1100,2014-11-17 04:28:17 +1100,cocktail bar,Venue_type_2,cocktail bar
111,Social Clubs,2014-11-17 04:28:48 +1100,2014-11-17 04:28:48 +1100,social club,Venue_type_2,social club
112,Pubs,2014-11-17 04:29:00 +1100,2014-11-17 04:29:00 +1100,pub,Venue_type_0,pub
113,Bottle Shop,2014-11-17 04:29:00 +1100,2014-11-17 04:29:00 +1100,a bottle shop,Delete,
114,Asian Fusion Restaurants ,2014-11-17 04:29:24 +1100,2014-11-17 04:29:24 +1100,Asian fusion,Cuisine,Asian fusion
115,Wine Bars,2014-11-17 04:29:53 +1100,2014-11-17 04:29:53 +1100,wine bar,Venue_type_2,wine bar
116,Himalayan & Nepalese,2014-11-17 04:30:02 +1100,2014-11-17 04:30:02 +1100,Himalayan/Nepalese,Cuisine,Himalayan/Nepalese
117,Delis,2014-11-17 04:30:12 +1100,2014-11-17 04:30:12 +1100,delicatessen,Venue_type_1,delicatessen
118,Cheese Shops,2014-11-17 04:30:12 +1100,2014-11-17 04:30:12 +1100,cheese shop,Venue_type_3,cheese shop
119,Meat Shops,2014-11-17 04:30:12 +1100,2014-11-17 04:30:12 +1100,delicatessen,Venue_type_1,delicatessen
120,Hotels,2014-11-17 04:30:54 +1100,2014-11-17 04:30:54 +1100,hotel,Venue_type_prefix,hotel
121,Diners,2014-11-17 04:30:57 +1100,2014-11-17 04:30:57 +1100,diner,Venue_type_0,diner
122,Hairdressers,2014-11-17 04:31:16 +1100,2014-11-17 04:31:16 +1100,hairdressers,Delete,
123,Gardening Centres,2014-11-17 04:31:16 +1100,2014-11-17 04:31:16 +1100,garden shop,Delete,
124,Peruvian,2014-11-17 04:31:55 +1100,2014-11-17 04:31:55 +1100,Peruvian,Cuisine,Peruvian
125,Gift Shops,2014-11-17 04:31:59 +1100,2014-11-17 04:31:59 +1100,gift shop,Delete,
126,Jewellery,2014-11-17 04:31:59 +1100,2014-11-17 04:31:59 +1100,jewellery,Delete,
127,Home Decor,2014-11-17 04:31:59 +1100,2014-11-17 04:31:59 +1100,homewares shop,Delete,
